X,Y,OBJECTID,YEAR,overed,not_resed
121.0589,24.71012,133549,95,1,1
121.0589,24.76655,133878,95,1,1
121.0614526,24.94261159,47624,92,1,1
121.0614538,24.94486879,47548,92,1,1
121.0639426,24.96969725,46915,91,1,1
121.0886,24.76428,136233,95,1,1
121.0886292,24.86585395,49692,91,1,1
121.0911258,24.89519613,49084,92,1,1
121.0936376,24.94259585,47635,92,1,1
121.0985593,24.90647751,48780,92,1,1
121.0986762,25.05319245,79730,94,1,1
121.1009,24.72364,116930,96,1,1
121.1011363,25.03062025,79966,94,1,1
121.101149,25.04641946,79973,94,1,1
121.1011527,25.0509335,9305,88,1,1
121.1018,22.71898,41642,85,1,1
121.1036141,25.03061835,79977,94,1,1
121.1084981,24.94935784,47441,92,1,1
121.1109361,24.90872629,48725,92,1,1
121.1109572,24.93129843,48002,91,1,1
121.1109593,24.93355564,47922,91,1,1
121.1182,24.71911,125438,96,1,1
121.1208014,24.8748607,49533,91,1,1
121.1258764,24.99448777,279,91,1,1
121.128329,24.97191449,319,91,1,1
121.1308102,24.97642673,46794,92,1,1
121.1332004,24.89967962,48977,92,1,1
121.1332131,24.91096573,48656,92,1,1
121.1357011,24.92224968,48305,92,1,1
121.1357037,24.9245069,48226,92,1,1
121.1357321,24.94933628,47452,92,1,1
121.1357475,24.96287947,47084,91,1,1
121.135867,25.07121678,79776,94,1,1
121.1379,24.70781,125481,96,1,1
121.1382105,24.95159129,47385,91,1,1
121.138221,24.96062009,47141,91,1,1
121.140574,24.85678613,49886,91,1,1
121.140689,24.95384627,47324,92,1,1
121.1431239,24.91998567,48368,92,1,1
121.1456571,24.9673849,79550,95,1,1
121.1456626,24.97189927,10256,83,1,1
121.1457282,25.02606802,80143,94,1,1
121.1481193,24.95609656,47265,92,1,1
121.1481332,24.96738258,10313,83,1,1
121.1481499,24.98092559,46706,92,1,1
121.1481527,24.98318273,10153,87,1,1
121.1506008,24.96060861,47146,92,1,1
121.1506093,24.96738022,10314,83,1,1
121.1530332,24.92674774,96098,93,1,1
121.1530854,24.96737781,10315,83,1,1
121.1553467,24.80259799,97405,92,1,1
121.1555204,24.93577419,96102,93,1,1
121.1555468,24.95608929,47268,92,1,1
121.1556661,25.04862686,9334,87,1,1
121.1579686,24.91545651,96294,93,1,1
121.1580286,24.96060125,47149,92,1,1
121.1580345,24.96511569,10345,83,1,1
121.1580464,24.97414448,10239,83,1,1
121.1604436,24.91545391,48514,91,1,1
121.1604621,24.92899735,48086,91,1,1
121.1604651,24.93125459,48019,91,1,1
121.1604743,24.93802632,47798,91,1,1
121.1605256,24.97639916,10221,83,1,1
121.1605286,24.97865634,10203,83,1,1
121.1629374,24.92899472,96106,92,1,1
121.1629835,24.96285338,79566,94,1,1
121.1629957,24.97188224,10263,83,1,1
121.1654873,24.98316558,79391,94,1,1
121.1655149,25.00347953,80478,94,1,1
121.1677451,24.82741429,97035,93,1,1
121.1679636,24.98316295,10156,83,1,1
121.1679947,25.00573401,9909,83,1,1
121.1680727,25.06441444,98135,92,1,1
121.1703307,24.90641413,96312,92,1,1
121.1703339,24.90867137,96313,92,1,1
121.1703794,24.94027287,47737,92,1,1
121.1704114,24.9628454,10375,85,1,1
121.1726,24.72809,133515,96,1,1
121.1726785,24.81837966,97440,93,1,1
121.1728873,24.96284265,10376,83,1,1
121.1729067,24.97638598,79413,94,1,1
121.1730335,25.06892386,98148,92,1,1
121.1778491,24.96960871,79596,94,1,1
121.1779049,25.00798041,80532,94,1,1
121.1801585,24.85900091,96779,92,1,1
121.1802473,24.91768886,96331,93,1,1
121.1802508,24.91994611,96332,92,1,1
121.1804511,25.05763077,46025,91,1,1
121.1804818,25.08020169,45928,92,1,1
121.1827809,24.95605937,96056,93,1,1
121.1828844,25.02603067,9636,90,1,1
121.1828908,25.03054453,98395,92,1,1
121.1852739,24.96734263,334,88,1,1
121.185315,24.99442913,10054,83,1,1
121.1853774,25.03731255,98408,93,1,1
121.1854279,25.07342496,97946,92,1,1
121.1903,24.98314,117107,95,1,1
121.1904075,25.08921857,97958,92,1,1
121.1924808,24.82964163,50765,92,1,1
121.1926301,24.92218802,96137,93,1,1
121.1927056,24.96959051,79611,94,1,1
121.1927163,24.97636221,10228,83,1,1
121.1927446,24.99441986,10057,83,1,1
121.1928823,25.08695853,97964,92,1,1
121.1922,23.01693,35707,85,1,1
121.1923,23.04176,35370,83,1,1
121.1950644,24.89735508,96357,93,1,1
121.1950904,24.91315579,96360,93,1,1
121.1951163,24.9289566,96150,93,1,1
121.1952,24.9899,133710,96,1,1
121.1952353,25.00344538,9946,88,1,1
121.1953,25.03279,98446,92,1,1
121.1953,25.0373,98448,93,1,1
121.1953534,25.08244146,97971,92,1,1
121.1976175,24.94475421,96166,93,1,1
121.1976212,24.94701148,96167,93,1,1
121.1976687,24.97635571,79503,94,1,1
121.2002,25.01924,126276,96,1,1
121.2002,25.03504,98463,92,1,1
121.2003172,25.08694915,97994,93,1,1
121.2003209,25.08920615,97995,93,1,1
121.2024616,24.88154458,96554,92,1,1
121.202546,24.93120393,96178,93,1,1
121.202565,24.94249025,47671,92,1,1
121.2027,25.03503,98472,92,1,1
121.2027,25.04406,98476,92,1,1
121.202738,25.05083348,98222,93,1,1
121.2027584,25.064376,98226,93,1,1
121.2051125,24.98537438,10145,89,1,1
121.2051567,25.01246035,248,88,1,1
121.2052019,25.04180189,46081,92,1,1
121.2052,25.04406,98485,93,1,1
121.205251,25.07340076,98009,92,1,1
121.2052663,25.08242867,98012,92,1,1
121.2073281,24.83413622,97146,92,1,1
121.2076,24.96957,126090,96,1,1
121.2077,25.03051,98488,92,1,1
121.2077103,25.06211241,98242,93,1,1
121.207714,25.06436946,98243,93,1,1
121.2077446,25.08242531,98022,93,1,1
121.2100306,24.96505233,10354,87,1,1
121.2100422,24.97182402,10267,88,1,1
121.21,24.97634,126074,96,1,1
121.2101,24.9786,133722,96,1,1
